,logFC,-log10Pval
KMXK_0C00560,1.51756357896949,15.828971853251
KMXK_0C03800,1.52913509574058,15.3048315166558
KMXK_0G01840,2.43390602858867,11.5276017290205
KMXK_0F01560,2.61628446623759,10.2057243846557
KMXK_0G00730,-2.41943583712534,9.00324855758584
KMXK_0A00680,-1.38353479785046,8.97347533914987
KMXK_0D01390,1.87256447920212,7.89068679619358
KMXK_0E04650,1.21961162453809,7.53494588739092
KMXK_0E03330,1.56152251549382,7.41268781652235
KMXK_0H03800,1.55544390342853,7.02177674134526
KMXK_0F01540,0.989914218090436,6.59184763453124
KMXK_0C00160,1.02623722298116,6.58697493913028
KMXK_0A08380,1.38267569570414,6.47688951447847
KMXK_0A01620,0.946031702812831,6.36677125265162
KMXK_0C00170,2.36203796533791,5.83968282029054
KMXK_0B06120,0.889182494803445,5.83968282029054
KMXK_0D02670,1.4503386385098,5.83968282029054
KMXK_0D00150,2.3276296021339,5.74171847916899
KMXK_0C05990,1.40320764386629,5.71925976721104
KMXK_0C04940,-1.7395200918406,5.65835198874262
KMXK_0F01570,2.03971865233348,5.23527876689567
KMXK_0H03280,0.808799346795309,5.16149014202236
KMXK_0D05640,0.826957407488333,4.91767495052343
KMXK_0C03170,0.769542317883387,4.74783473613053
KMXK_0A01180,0.932219934360675,4.43557527515965
KMXK_0C06710,0.903210774566044,3.8855044272013
KMXK_0B00120,1.07579238221945,3.66820892565956
KMXK_0F02450,0.847041099090367,3.49248244075362
KMXK_0F03810,0.880655600763691,3.49248244075362
KMXK_0G01910,-1.89939573382496,3.48788312787124
KMXK_0A03440,0.843304993086325,3.48126057696751
KMXK_0G01630,0.806084155405714,3.25120546819223
KMXK_0D02410,0.811379001007233,3.24604672061468
KMXK_0E05850,-2.41211282985556,3.23073519972267
KMXK_0F05590,1.52139260199271,3.1902114395668
KMXK_0C06080,1.22901105170774,3.14961746970791
KMXK_0D01250,-0.942037214329935,2.96264272451365
KMXK_0D03100,0.887926237518224,2.94622664861786
KMXK_0G01990,0.837746377191874,2.9090117973113
KMXK_0A05330,0.840470779916557,2.82476641495663
KMXK_0G00140,2.62699499369555,2.76222704004989
KMXK_0E04580,1.08381867792162,2.72987250951228
KMXK_0G01850,1.34233229993,2.70618766534442
KMXK_0B02080,0.937407468637764,2.58944511036898
KMXK_0G00720,3.14040706430222,2.50159321950779
KMXK_0H02310,-1.99847491958897,2.40795370985918
KMXK_0E04590,-1.49857374012905,2.2025091261362
KMXK_0H03050,-1.08973698309014,2.19968683094929
KMXK_0B01110,-1.29191287493048,2.19968683094929
KMXK_0G00930,-1.47474403090631,2.16715614216859
KMXK_0B01020,-0.93632241291505,2.07625296518705
KMXK_0C06390,0.841191048703583,2.065391383443
KMXK_0H03940,0.776343422647442,2.04333338486966
KMXK_0E03320,0.900299460178133,2.02244850402612
